Gender Age MaritalStatus lat1 lon2 lat2 lon2
female 36 single 39.986487 116.321248 39.991581 116.33086
female 26 divorced 39.967611 116.32802 39.974689 116.310703
male 35 divorced 22.815658 108.333045 22.822553 108.319318
male 30 single 40.020315 116.307962 40.011823 116.312151
female 36 single 39.929281 116.152567 39.936112 116.145006
male 26 single 39.857132 116.425757 39.857419 116.437462
female 31 divorced 39.882703 116.661252 39.885486 116.672422
female 31 married 39.979535 116.327337 39.980143 116.315595
male 47 married 39.976117 116.32765 39.971765 116.346688
male 29 married 39.907817 116.590167 39.911717 116.6036
male 34 single 39.962147 116.488514 39.970477 116.483673
female 38 single 39.969971 116.401225 39.961003 116.401941
male 29 divorced 39.865879 116.380229 39.867579 116.391709
female 38 single 39.995033 116.326767 40.003267 116.321717
female 36 divorced 39.961537 116.401918 39.970537 116.401358
male 28 divorced 39.978248 116.308778 39.975145 116.319747
male 39 divorced 40.016203 116.321079 40.024663 116.316896
